MODEL,REACH,MARKETING_NAME,VENDOR,PRICE_RELEASED,YEAR_RELEASED,MONTH_RELEASED,TIME_RELEASED,DIAGONAL_SCREEN_SIZE,CAMERA_PIXELS,DISPLAY_HEIGHT,DISPLAY_WIDTH,AGE,Cluster_km7,Cluster_km8,Cluster_km10,Cluster_km12,Cluster_hclust7,Cluster_hclust8,Cluster_hclust10,Cluster_hclust12,ClusterScrCam_km7,ClusterScrCam_km8,ClusterScrCam_km10,ClusterScrCam_km12,ClusterScrCam_hclust7,ClusterScrCam_hclust8,ClusterScrCam_hclust10,ClusterScrCam_hclust12,ClusterScr_km7,ClusterScr_km8,ClusterScr_km10,ClusterScr_km12,ClusterScr_hclust7,ClusterScr_hclust8,ClusterScr_hclust10,ClusterScr_hclust12
K520,945,stylus 2,lg,190.0,2016.0,6.0,2016.5,5.7,13.0,1280.0,720.0,0.6666666666667425,3,4,1,1,4,4,0,10,1,2,3,4,4,4,4,1,0,0,2,11,0,7,7,7
SM-G900P,933,galaxy s5,sprint,480.0,2014.0,4.0,2014.333333333333,5.1,16.0,1920.0,1080.0,2.8333333333337123,6,3,7,2,1,0,8,8,5,4,1,1,3,3,3,3,5,1,3,5,4,4,1,5
RM-917,931,lumia 521,nokia,70.0,2012.0,4.0,2012.333333333333,4.0,5.0,800.0,480.0,4.833333333333712,4,7,3,3,0,3,1,11,3,7,5,3,0,0,8,8,3,6,1,3,3,1,9,9
SM-G925K,930,galaxy s6 edge,samsung,600.0,2015.0,4.0,2015.333333333333,5.1,16.0,2560.0,1440.0,1.8333333333337123,6,3,2,8,3,7,7,3,5,4,7,8,6,6,6,6,4,1,9,0,4,4,1,5
E380,929,liquid e3,acer,200.0,2014.0,4.0,2014.333333333333,4.7,13.0,1280.0,720.0,2.8333333333337123,2,6,4,4,1,0,4,0,1,2,8,4,5,5,0,2,6,5,4,1,2,2,2,0
GT-I8350,928,omnia w,samsung,150.0,2011.0,10.0,2011.833333333333,3.7,5.0,800.0,480.0,5.333333333333712,4,7,3,3,0,3,1,11,3,7,5,3,0,0,8,8,3,6,1,3,3,1,9,9
VIE-AL10,926,p9 plus,huawei,600.0,2016.0,5.0,2016.416666666667,5.5,12.0,1920.0,1020.0,0.7499999999997726,6,3,2,8,3,7,7,3,5,4,7,8,6,6,6,6,4,1,9,0,4,4,1,5
CHM-U01,916,honor 4c,huawei,170.0,2015.0,4.0,2015.333333333333,5.0,13.0,1280.0,720.0,1.8333333333337123,3,4,1,1,4,4,0,10,1,2,3,4,4,4,4,1,0,7,2,11,0,7,7,7
Y336-U02,913,y336-u02,huawei,90.0,2015.0,6.0,2015.5,4.0,5.0,800.0,480.0,1.6666666666667425,5,2,6,0,2,2,2,2,2,1,4,2,1,1,1,0,0,7,2,9,2,2,2,0
GT-I9305T,908,galaxy s3 lte,samsung,320.0,2012.0,9.0,2012.75,4.8,8.0,1280.0,720.0,4.4166666666667425,4,5,8,9,0,1,3,1,4,0,8,9,5,5,0,2,5,2,3,6,5,5,5,2
One Mini 2,907,one mini 2,htc,440.0,2014.0,11.0,2014.916666666667,4.5,13.0,1080.0,720.0,2.2499999999997726,6,3,7,2,1,0,4,0,5,4,1,1,3,3,3,3,5,1,3,5,6,6,6,6
H1611,904,ascend xt,huawei,330.0,2016.0,1.0,2016.083333333333,6.0,8.0,1280.0,720.0,1.0833333333337123,5,0,5,5,6,6,6,6,1,2,3,6,1,1,1,0,2,0,7,7,0,3,3,3
SM-T561,902,galaxy tab e 9.6,samsung,200.0,2015.0,7.0,2015.583333333333,9.6,5.0,800.0,1280.0,1.5833333333337123,5,2,6,0,2,2,2,2,0,6,9,10,2,2,2,5,1,3,6,10,1,0,0,4
Z012DA,901,zenfone 3,asus,450.0,2016.0,8.0,2016.666666666667,5.9,12.0,1280.0,720.0,0.4999999999997726,6,3,2,6,4,4,0,4,5,4,7,8,6,6,6,6,4,1,7,7,0,3,3,3
SM-A8000,900,galaxy a8,samsung,270.0,2015.0,10.0,2015.833333333333,5.7,16.0,1920.0,1080.0,1.3333333333337123,3,4,1,6,4,4,0,4,1,2,3,4,4,4,4,1,2,0,7,7,0,3,3,3
EK-GC100,897,galaxy camera,samsung,110.0,2013.0,2.0,2013.166666666667,4.8,16.3,720.0,1280.0,3.9999999999997726,2,6,4,4,1,0,4,0,1,2,8,9,5,5,0,2,6,5,5,8,3,1,4,1
D820u,894,desire 820 dual sim,htc,320.0,2014.0,11.0,2014.916666666667,5.5,13.0,1280.0,720.0,2.2499999999997726,2,6,7,6,1,0,4,0,1,2,1,1,4,4,4,1,2,0,7,1,6,6,6,6
G730-U30,889,g730-u30,huawei,270.0,2015.0,4.0,2015.333333333333,5.5,5.0,960.0,540.0,1.8333333333337123,5,0,5,7,2,2,2,2,2,1,4,6,1,1,1,0,2,0,7,7,0,3,3,3
D6502,877,xperia z2,sony,330.0,2014.0,7.0,2014.583333333333,5.2,20.7,1920.0,1080.0,2.5833333333337123,2,6,9,10,1,0,8,8,1,2,1,1,3,3,3,3,5,2,4,1,6,6,6,6
SM-T355Y,877,galaxy tab a,samsung,210.0,2015.0,5.0,2015.416666666667,8.0,5.0,768.0,1024.0,1.7499999999997726,5,2,6,0,2,2,2,2,0,6,9,0,2,2,2,5,1,3,0,4,1,0,0,4
ST26a,876,xperia j,sony,140.0,2012.0,10.0,2012.833333333333,4.0,5.0,854.0,480.0,4.333333333333712,4,7,3,3,0,3,1,7,3,7,5,3,0,0,8,8,3,6,1,8,3,1,9,9
SM-G930L,863,galaxy s7,samsung,370.0,2016.0,,2016.5,5.1,12.0,2560.0,1440.0,0.6666666666667425,3,4,1,6,4,4,0,4,1,2,3,4,4,4,4,1,2,0,7,7,0,3,3,3
SM-G935A,863,galaxy s7 edge,at&t,600.0,2016.0,3.0,2016.25,5.1,12.2,2560.0,1440.0,0.9166666666667425,6,3,2,8,3,7,7,3,5,4,7,8,6,6,6,6,4,1,9,0,4,4,1,5
Desire 820,861,desire 820,htc,180.0,2014.0,6.0,2014.5,5.5,13.0,1280.0,720.0,2.6666666666667425,2,6,4,4,1,0,4,0,1,2,3,4,4,4,4,1,6,5,4,1,2,2,2,0
H525N,857,g4c,lg,160.0,2015.0,6.0,2015.5,5.0,5.0,1280.0,720.0,1.6666666666667425,5,2,6,0,2,2,2,2,2,1,4,2,1,1,1,0,0,7,2,11,0,7,7,7
LUA-U22,855,y3 ii,huawei,80.0,2016.0,6.0,2016.5,4.5,8.0,854.0,480.0,0.6666666666667425,5,2,6,0,5,5,5,5,2,1,4,2,1,1,1,0,0,7,2,11,0,7,7,7
SM-T215,851,galaxy tab 3,samsung,140.0,2013.0,7.0,2013.583333333333,7.0,3.15,1024.0,600.0,3.5833333333337123,1,1,0,11,0,1,3,1,6,3,2,7,2,2,2,4,1,4,8,2,1,0,0,4
SM-A800YZ,849,galaxy a8,samsung,270.0,2015.0,10.0,2015.833333333333,5.7,16.0,1920.0,1080.0,1.3333333333337123,3,4,1,6,4,4,0,4,1,2,3,4,4,4,4,1,2,0,7,7,0,3,3,3
SGP611,848,xperia z3 tablet,sony,380.0,2014.0,11.0,2014.916666666667,8.0,8.0,1920.0,1200.0,2.2499999999997726,0,0,5,5,6,6,6,6,0,6,9,10,2,2,9,9,1,3,6,10,1,0,0,10
CRR-L09,847,mate s,huawei,350.0,2016.0,10.0,2016.833333333333,5.5,13.0,1920.0,1080.0,0.3333333333337123,3,4,1,6,4,4,0,4,1,2,3,4,4,4,4,1,2,0,7,7,0,3,3,3
RM-1017,843,lumia 530,nokia,100.0,2014.0,8.0,2014.666666666667,4.0,5.0,854.0,480.0,2.4999999999997726,1,1,0,11,2,2,2,2,2,5,0,5,0,0,5,11,6,5,5,9,2,2,2,0
One A9u,841,hima aero,htc,350.0,2015.0,11.0,2015.916666666667,5.0,13.0,1920.0,1080.0,1.2499999999997726,3,4,1,6,4,4,0,4,1,2,3,4,4,4,4,1,2,0,7,7,0,3,3,3
Fire HD 8 (2016),839,fire hd 8 (2016),amazon,80.0,2016.0,6.0,2016.5,8.0,5.0,800.0,1280.0,0.6666666666667425,5,2,6,0,2,2,2,2,0,6,9,0,2,2,2,5,1,3,0,4,1,0,0,4
GT-S7710,839,galaxy xcover 2,samsung,190.0,2013.0,3.0,2013.25,4.0,5.0,800.0,480.0,3.9166666666667425,1,1,0,3,0,3,1,7,3,7,0,3,0,0,5,11,3,6,1,8,3,1,4,1
SHV-E220S,839,galaxy pop,samsung,110.0,2013.0,2.0,2013.166666666667,4.65,8.0,1280.0,720.0,3.9999999999997726,1,1,4,3,0,1,9,9,3,5,8,9,5,5,0,10,6,5,5,8,3,1,4,1
X500,839,le 1s,letv,100.0,2015.0,11.0,2015.916666666667,5.5,13.0,1920.0,1080.0,1.2499999999997726,3,4,1,1,4,4,0,10,1,2,3,4,4,4,4,1,0,7,2,11,0,7,7,7
SM-G3815,831,galaxy express 2,samsung,210.0,2013.0,10.0,2013.833333333333,4.5,5.0,960.0,540.0,3.3333333333337123,1,1,0,7,0,3,1,7,3,5,0,5,0,0,5,11,6,5,4,8,3,1,4,1
G620-L72,831,ascend g620,huawei,180.0,2014.0,11.0,2014.916666666667,5.0,5.0,960.0,540.0,2.2499999999997726,5,2,6,7,2,2,2,2,2,1,4,2,1,1,1,0,0,7,4,1,2,2,2,0
SM-N920T,828,galaxy note 5,t-mobile,530.0,2015.0,8.0,2015.666666666667,5.7,16.0,2560.0,1440.0,1.4999999999997726,6,3,2,8,3,7,7,3,5,4,7,8,6,6,6,6,4,1,9,0,4,4,1,5
SM-N916S,820,galaxy note 4 s-lte,samsung,370.0,2014.0,,2014.5,5.7,16.0,2560.0,1440.0,2.6666666666667425,2,6,7,2,1,0,8,8,1,2,1,1,3,3,3,3,5,2,3,5,6,6,6,6
MX4 Pro,818,mx4 pro,meizu,400.0,2014.0,12.0,2015.0,5.5,20.7,2560.0,1536.0,2.1666666666667425,6,3,9,10,1,0,8,8,5,4,1,1,3,3,3,3,2,0,7,5,0,3,3,3
LK430,815,g pad f 7.0,sprint,160.0,2015.0,7.0,2015.583333333333,7.0,5.0,800.0,1280.0,1.5833333333337123,5,2,6,0,2,2,2,2,0,6,9,0,2,2,2,5,1,3,0,4,1,0,0,4
SM-T320,810,galaxy tab pro,samsung,290.0,2014.0,2.0,2014.166666666667,8.4,8.0,2560.0,1600.0,2.9999999999997726,0,0,5,7,6,6,6,6,0,6,9,10,2,2,2,4,1,3,6,10,1,0,0,4
SM-J200F,810,galaxy j2,samsung,150.0,2015.0,9.0,2015.75,4.7,5.0,960.0,540.0,1.4166666666667425,5,2,6,0,2,2,2,2,2,1,4,2,1,1,1,0,0,7,2,11,0,7,7,7
G620S-UL00,809,honor 4,huawei,180.0,2014.0,11.0,2014.916666666667,5.0,8.0,1280.0,720.0,2.2499999999997726,5,2,6,7,5,5,5,5,2,1,4,2,1,1,1,0,0,7,4,1,2,2,2,0
SCL-L21,801,y6,huawei,140.0,2015.0,10.0,2015.833333333333,5.0,8.0,1280.0,720.0,1.3333333333337123,5,2,6,0,5,5,5,5,2,1,4,2,1,1,1,0,0,7,2,11,0,7,7,7
KII-L21,798,gr5,huawei,300.0,2015.0,11.0,2015.916666666667,5.5,13.0,1920.0,1080.0,1.2499999999997726,3,4,1,6,4,4,0,4,1,2,3,4,4,4,4,1,2,0,7,7,0,3,3,3
SM-G9208,798,galaxy s6,samsung,500.0,2015.0,4.0,2015.333333333333,5.1,16.0,2560.0,1440.0,1.8333333333337123,6,3,2,8,3,7,7,3,5,4,1,8,3,3,3,3,4,1,9,5,4,4,1,5
SHV-E300L,796,galaxy s4 lte,samsung,110.0,2013.0,10.0,2013.833333333333,5.0,13.0,1920.0,1080.0,3.3333333333337123,2,6,4,4,1,0,4,0,1,2,8,9,5,5,0,2,6,5,5,8,3,1,4,1
SM-A7000,795,galaxy a7 duos,samsung,370.0,2014.0,2.0,2014.166666666667,5.5,13.0,1920.0,1080.0,2.9999999999997726,2,6,7,2,1,0,4,0,4,0,1,1,3,3,3,3,5,2,3,5,6,6,6,6
SM-N920G,784,galaxy note 5,samsung,530.0,2015.0,8.0,2015.666666666667,5.7,16.0,2560.0,1440.0,1.4999999999997726,6,3,2,8,3,7,7,3,5,4,7,8,6,6,6,6,4,1,9,0,4,4,1,5
SM-A7100,781,galaxy a7,samsung,460.0,2015.0,12.0,2016.0,5.5,13.0,1920.0,1080.0,1.1666666666667425,6,3,2,6,4,4,0,4,5,4,7,8,6,6,6,6,4,1,7,7,4,4,1,5
XT910,775,razr,motorola,220.0,2011.0,11.0,2011.916666666667,4.3,8.0,960.0,540.0,5.249999999999773,4,7,3,3,0,1,3,1,3,7,5,9,5,5,0,10,3,6,1,3,3,1,9,9
SM-J7108,772,galaxy j7 (2016),samsung,270.0,2016.0,4.0,2016.333333333333,5.5,13.0,1920.0,1080.0,0.8333333333337123,3,4,1,6,4,4,0,4,1,2,3,4,4,4,4,1,2,0,7,7,0,3,3,3
Desire 816 Dual SIM,766,desire 816 dual sim,htc,250.0,2014.0,5.0,2014.416666666667,5.5,13.0,1280.0,720.0,2.7499999999997726,2,6,7,4,1,0,4,0,1,2,3,1,4,4,4,1,2,0,4,1,6,6,6,6
SHV-E275S,764,galaxy grand,samsung,130.0,2013.0,7.0,2013.583333333333,5.0,8.0,800.0,480.0,3.5833333333337123,1,1,4,7,0,1,9,9,3,5,8,9,5,5,0,10,6,5,5,8,3,1,4,1
SHW-M500W,757,galaxy note 8.0,samsung,240.0,2013.0,2.0,2013.166666666667,8.0,5.0,800.0,1280.0,3.9999999999997726,4,5,8,9,0,1,3,1,6,3,2,7,2,2,2,4,1,4,8,2,1,0,0,10
Fire HD 7,749,fire hd 7,amazon,80.0,2014.0,6.0,2014.5,7.0,2.0,800.0,1280.0,2.6666666666667425,1,1,0,11,2,2,2,2,6,3,2,0,2,2,2,5,1,4,0,4,1,0,0,4
D958,748,g flex,lg,360.0,2014.0,11.0,2014.916666666667,6.0,13.0,1280.0,720.0,2.2499999999997726,2,6,7,2,1,0,4,0,1,2,1,1,3,3,3,3,2,0,7,5,6,6,6,6
SM-J700M,747,galaxy j7,samsung,250.0,2015.0,6.0,2015.5,5.5,13.0,1280.0,720.0,1.6666666666667425,3,4,1,1,4,4,0,4,1,2,3,4,4,4,4,1,2,0,7,7,0,3,3,3
SM-A500L,746,galaxy a5,samsung,290.0,2014.0,11.0,2014.916666666667,5.0,13.0,1280.0,720.0,2.2499999999997726,2,6,7,6,1,0,4,0,1,2,3,1,4,4,4,1,2,0,4,1,6,6,6,6
SM-N915S,741,galaxy note edge,samsung,650.0,2014.0,11.0,2014.916666666667,5.6,16.0,2560.0,1600.0,2.2499999999997726,6,3,2,8,3,7,7,3,5,4,7,8,6,6,6,6,4,1,9,0,4,4,1,5
SM-N920A,739,galaxy note 5,samsung,530.0,2015.0,8.0,2015.666666666667,5.7,16.0,2560.0,1440.0,1.4999999999997726,6,3,2,8,3,7,7,3,5,4,7,8,6,6,6,6,4,1,9,0,4,4,1,5
SM-G920A,737,galaxy s6,at&t,500.0,2015.0,4.0,2015.333333333333,5.1,16.0,2560.0,1440.0,1.8333333333337123,6,3,2,8,3,7,7,3,5,4,1,8,3,3,3,3,4,1,9,5,4,4,1,5
Lumia 430,734,lumia 430,microsoft,70.0,2015.0,5.0,2015.416666666667,4.0,2.0,800.0,480.0,1.7499999999997726,5,2,6,0,2,2,2,2,2,5,0,2,1,1,1,0,0,7,2,9,2,2,2,0
A85,728,a85,ampe,140.0,2016.0,4.0,2016.333333333333,8.0,0.3,768.0,1024.0,0.8333333333337123,5,2,6,0,2,2,2,2,0,6,9,0,2,2,2,5,1,3,0,4,1,0,0,4
SM-A800S,726,galaxy a8,samsung,270.0,2015.0,10.0,2015.833333333333,5.7,16.0,1920.0,1080.0,1.3333333333337123,3,4,1,6,4,4,0,4,1,2,3,4,4,4,4,1,2,0,7,7,0,3,3,3
SM-J500M,722,galaxy j5,samsung,160.0,2015.0,6.0,2015.5,5.0,13.0,1280.0,720.0,1.6666666666667425,3,4,1,1,4,4,0,10,1,2,3,4,4,4,4,1,0,7,2,11,0,7,7,7
Start 2,718,start 2,nex,120.0,2014.0,8.0,2014.666666666667,4.5,5.0,854.0,450.0,2.4999999999997726,1,1,0,11,2,2,2,2,2,5,0,5,1,1,1,0,6,5,5,9,2,2,2,0
V993W,716,blade v5,zte,210.0,2014.0,2.0,2014.166666666667,5.0,5.0,1280.0,720.0,2.9999999999997726,1,1,0,7,2,2,2,2,2,5,0,5,0,0,5,11,6,5,4,1,2,2,2,0
V500,715,g pad 8.3,lg,300.0,2015.0,10.0,2015.833333333333,8.3,13.0,1920.0,1920.0,1.3333333333337123,3,4,1,6,4,4,0,4,0,6,9,10,4,4,4,1,1,3,6,10,1,0,0,4
VIE-L09,713,p9 plus,huawei,600.0,2016.0,5.0,2016.416666666667,5.5,13.0,1020.0,1080.0,0.7499999999997726,6,3,2,8,3,7,7,3,5,4,7,8,6,6,6,6,4,1,9,0,4,4,1,5
SM-G750H,712,galaxy mega 2,samsung,340.0,2014.0,9.0,2014.75,6.0,8.0,1280.0,720.0,2.4166666666667425,0,0,5,5,6,6,6,6,4,0,6,6,1,1,1,0,2,0,7,5,6,6,6,6
SM-G906L,711,galaxy s5 lte-a,samsung,550.0,2014.0,7.0,2014.583333333333,5.1,16.0,2560.0,1440.0,2.5833333333337123,6,3,2,2,3,7,7,3,5,4,1,8,3,3,3,3,4,1,9,5,4,4,1,5
Desire 601,707,desire 601,htc,230.0,2013.0,10.0,2013.833333333333,4.5,5.0,960.0,540.0,3.3333333333337123,1,1,0,7,0,3,1,7,3,5,0,5,0,0,5,11,6,5,4,8,3,1,4,1
SGH-I747M,707,galaxy s3,samsung,300.0,2012.0,7.0,2012.583333333333,4.8,8.0,1280.0,720.0,4.583333333333712,4,5,8,9,0,1,3,1,4,0,8,9,5,5,0,2,5,2,1,6,5,5,5,2
XT1039,700,moto g 4g,motorola,240.0,2014.0,1.0,2014.083333333333,4.5,5.0,1280.0,720.0,3.0833333333337123,1,1,0,7,2,2,2,2,2,5,0,5,0,0,5,11,6,5,4,1,2,2,2,0
SM-G720AX,694,galaxy grand 3,samsung,260.0,2014.0,1.0,2014.083333333333,5.5,13.0,1280.0,720.0,3.0833333333337123,2,6,7,4,1,0,4,0,4,0,8,1,4,4,4,1,5,2,4,1,6,6,6,6
SM-T560NU,692,galaxy tab e nook,samsung,200.0,2015.0,7.0,2015.583333333333,9.7,5.0,800.0,1280.0,1.5833333333337123,5,2,6,0,2,2,2,2,0,6,9,10,2,2,2,5,1,3,6,10,1,0,0,4
SM-J110H,692,galaxy j1 ace duos,samsung,140.0,2015.0,10.0,2015.833333333333,4.3,5.0,800.0,480.0,1.3333333333337123,5,2,6,0,2,2,2,2,2,1,4,2,1,1,1,0,0,7,2,11,0,7,7,7
SM-G920P,689,galaxy s6,sprint,500.0,2015.0,4.0,2015.333333333333,5.1,16.0,2560.0,1440.0,1.8333333333337123,6,3,2,8,3,7,7,3,5,4,1,8,3,3,3,3,4,1,9,5,4,4,1,5
SM-C5000,688,galaxy c5,samsung,240.0,2016.0,2.0,2016.166666666667,5.2,16.0,1920.0,1080.0,0.9999999999997726,3,4,1,6,4,4,0,4,1,2,3,4,4,4,4,1,2,0,7,7,0,3,3,3
D838,686,g pro 2,lg,310.0,2013.0,4.0,2013.333333333333,5.9,13.0,1920.0,1080.0,3.8333333333337123,2,6,7,4,1,0,4,0,4,0,8,1,3,3,3,3,5,2,3,6,6,6,6,6
SM-N916K,683,galaxy note 4 s-lte,samsung,370.0,2014.0,,2014.5,9.7,16.0,1440.0,2560.0,2.6666666666667425,2,6,7,2,1,0,8,8,0,6,9,10,4,4,4,1,1,3,6,10,1,0,0,10
SP AI,682,sp ai,megafon,90.0,2012.0,6.0,2012.5,3.6,3.1,480.0,320.0,4.6666666666667425,4,7,3,3,0,3,1,11,3,7,5,3,0,0,8,8,3,6,1,3,3,1,9,9
D728x,681,desire 728 dual sim,htc,240.0,2015.0,11.0,2015.916666666667,4.0,13.0,1280.0,720.0,1.2499999999997726,3,4,1,1,4,4,0,4,1,2,3,4,4,4,4,1,0,7,2,11,0,7,7,7
GT-S5380,680,wave y,samsung,90.0,2012.0,11.0,2012.916666666667,3.2,2.0,480.0,320.0,4.249999999999773,4,7,3,3,0,3,1,7,3,7,5,3,0,0,8,8,3,6,1,3,3,1,9,9
ST23i,676,xperia miro,sony,150.0,2012.0,9.0,2012.75,3.5,5.0,480.0,320.0,4.4166666666667425,4,7,3,3,0,3,1,7,3,7,5,3,0,0,8,8,3,6,1,3,3,1,9,9
Le X821,665,le max 2,leeco,350.0,2016.0,5.0,2016.416666666667,5.7,21.0,2560.0,1440.0,0.7499999999997726,3,4,9,10,1,0,8,8,1,2,1,4,3,3,3,3,2,0,7,7,0,3,3,3
SM-A9100,665,galaxy a9 (2016),samsung,460.0,2016.0,1.0,2016.083333333333,6.0,16.0,1920.0,1080.0,1.0833333333337123,6,3,9,6,4,4,0,4,5,4,1,8,4,4,4,1,4,1,7,7,4,4,1,5
830LC,661,yoga tablet 2,lenovo,140.0,2014.0,,2014.5,8.0,8.0,1920.0,1200.0,2.6666666666667425,1,1,4,7,5,5,5,5,0,6,9,0,2,2,2,4,1,3,0,4,1,0,0,4
M1 Note,660,m1 note,meizu,130.0,2014.0,1.0,2014.083333333333,5.5,13.0,1920.0,1080.0,3.0833333333337123,2,6,4,4,1,0,4,0,1,2,8,4,4,4,4,1,6,5,4,1,2,2,2,0
SM-G935L,660,galaxy s7 edge,samsung,600.0,2016.0,3.0,2016.25,5.5,13.0,2560.0,1440.0,0.9166666666667425,6,3,2,8,3,7,7,3,5,4,7,8,6,6,6,6,4,1,9,0,4,4,1,5
Lumia 640 XL LTE,655,lumia 640 xl lte,microsoft,200.0,2015.0,4.0,2015.333333333333,5.7,13.0,1280.0,720.0,1.8333333333337123,3,4,1,1,4,4,0,10,1,2,3,4,4,4,4,1,2,0,2,11,0,7,7,7
SM-J320YZ,654,galaxy j3,samsung,150.0,2016.0,1.0,2016.083333333333,5.0,13.0,1280.0,720.0,1.0833333333337123,3,4,1,1,4,4,0,10,1,2,3,4,4,4,4,1,0,7,2,11,0,7,7,7
M3s,651,m3s,meizu,120.0,2016.0,6.0,2016.5,5.0,13.0,1280.0,720.0,0.6666666666667425,3,4,1,1,4,4,0,10,1,2,3,4,4,4,4,1,0,7,2,11,0,7,7,7
A51w,651,mirror 5,oppo,220.0,2015.0,8.0,2015.666666666667,5.0,8.0,960.0,540.0,1.4999999999997726,5,2,6,0,5,5,5,5,2,1,4,2,1,1,1,0,0,0,2,11,0,3,3,3
SM-J500N0,650,galaxy j5,samsung,240.0,2015.0,6.0,2015.5,5.0,13.0,1280.0,720.0,1.6666666666667425,3,4,1,1,4,4,0,4,1,2,3,4,4,4,4,1,2,0,7,7,0,3,3,3
S7-104,647,ideos s7,huawei,210.0,2011.0,,2011.5,7.0,2.0,480.0,800.0,5.6666666666667425,4,7,3,3,0,3,1,11,6,3,2,7,2,2,2,4,1,4,8,2,1,0,8,8
F3311,643,xperia e5,sony,190.0,2016.0,6.0,2016.5,5.0,13.0,1280.0,720.0,0.6666666666667425,3,4,1,1,4,4,0,10,1,2,3,4,4,4,4,1,0,7,2,11,0,7,7,7
F320L,643,g2,lg,180.0,2013.0,3.0,2013.25,5.2,13.0,1920.0,1080.0,3.9166666666667425,2,6,4,4,1,0,4,0,4,0,8,9,5,5,0,2,6,5,4,8,3,1,4,1
Note 1 LTE W,641,redmi note 4g,xiaomi,270.0,2014.0,10.0,2014.833333333333,5.5,13.0,1280.0,720.0,2.3333333333337123,2,6,1,4,1,0,4,0,1,2,3,4,4,4,4,1,2,0,4,1,6,6,6,6
SM-G935W8,640,galaxy s7 edge,samsung,600.0,2016.0,3.0,2016.25,5.5,12.2,2560.0,1440.0,0.9166666666667425,6,3,2,8,3,7,7,3,5,4,7,8,6,6,6,6,4,1,9,0,4,4,1,5
TIT-AL00,638,y6 pro,huawei,280.0,2016.0,10.0,2016.833333333333,5.0,13.0,1280.0,720.0,0.3333333333337123,3,4,1,6,4,4,0,4,1,2,3,4,4,4,4,1,2,0,7,7,0,3,3,3
SM-G925L,637,galaxy s6 edge,samsung,600.0,2015.0,4.0,2015.333333333333,5.1,16.0,2560.0,1440.0,1.8333333333337123,6,3,2,8,3,7,7,3,5,4,7,8,6,6,6,6,4,1,9,0,4,4,1,5
F320S,636,g2,lg,180.0,2013.0,3.0,2013.25,5.2,13.0,1920.0,1080.0,3.9166666666667425,2,6,4,4,1,0,4,0,4,0,8,9,5,5,0,2,6,5,4,8,3,1,4,1
H440n,632,spirit 4g,lg,120.0,2015.0,3.0,2015.25,4.7,8.0,1280.0,720.0,1.9166666666667425,5,2,6,0,5,5,5,5,2,1,4,2,1,1,1,0,0,7,2,9,2,2,2,0
MX4,631,mx4,meizu,400.0,2014.0,12.0,2015.0,5.36,20.7,1920.0,1152.0,2.1666666666667425,6,3,9,10,1,0,8,8,5,4,1,1,3,3,3,3,2,0,7,5,0,3,3,3
TIT-L01,629,honor 4c pro,huawei,280.0,2016.0,10.0,2016.833333333333,5.0,13.0,1280.0,720.0,0.3333333333337123,3,4,1,6,4,4,0,4,1,2,3,4,4,4,4,1,2,0,7,7,0,3,3,3
S939,627,s939,lenovo,180.0,2013.0,5.0,2013.416666666667,6.0,8.0,720.0,1280.0,3.7499999999997726,1,1,4,7,0,1,9,9,4,0,8,9,5,5,0,2,6,4,4,1,1,0,8,8
A8-50LC,626,tab 2 a8,lenovo,120.0,2015.0,6.0,2015.5,8.0,5.0,800.0,1280.0,1.6666666666667425,5,2,6,0,2,2,2,2,0,6,9,0,2,2,2,5,1,3,0,4,1,0,0,4
D722,617,g3 s,lg,190.0,2014.0,8.0,2014.666666666667,5.0,8.0,1280.0,720.0,2.4999999999997726,5,2,4,7,5,5,5,5,2,1,4,2,1,1,1,0,6,5,4,1,2,2,2,0
SM-G900M,608,galaxy s5,samsung,480.0,2014.0,4.0,2014.333333333333,5.1,16.0,1920.0,1080.0,2.8333333333337123,6,3,7,2,1,0,8,8,5,4,1,1,3,3,3,3,5,1,3,5,4,4,1,5
SM-N916L,605,galaxy note 4 s-lte,samsung,370.0,2014.0,,2014.5,5.7,16.0,2560.0,1440.0,2.6666666666667425,2,6,7,2,1,0,8,8,1,2,1,1,3,3,3,3,5,2,3,5,6,6,6,6
SM-A710Y,599,galaxy a7 duos lte,samsung,460.0,2016.0,12.0,2017.0,5.5,13.0,1920.0,1080.0,0.16666666666674246,6,3,2,6,4,4,0,4,5,4,7,8,6,6,6,6,4,1,7,7,0,3,3,3
SM-J320H,599,galaxy j3 (2016),samsung,150.0,2016.0,1.0,2016.083333333333,5.0,8.0,1280.0,720.0,1.0833333333337123,5,2,6,0,5,5,5,5,2,1,4,2,1,1,1,0,0,7,2,11,0,7,7,7
One X9 Dual Sim,596,x9,htc,360.0,2015.0,11.0,2015.916666666667,5.5,13.0,1920.0,1080.0,1.2499999999997726,3,4,1,6,4,4,0,4,1,2,3,4,4,4,4,1,2,0,7,7,0,3,3,3
Smart 9,596,smart 9,nex,80.0,2014.0,,2014.5,5.0,5.0,854.0,480.0,2.6666666666667425,1,1,0,11,2,2,2,2,2,5,0,5,1,1,1,0,6,5,5,9,2,2,2,0
SM-G600FY,589,galaxy on7,samsung,180.0,2015.0,11.0,2015.916666666667,5.5,8.0,1280.0,720.0,1.2499999999997726,5,2,6,0,5,5,5,5,2,1,4,2,1,1,1,0,0,7,2,11,0,7,7,7
