MODEL,REACH,MARKETING_NAME,VENDOR,PRICE_RELEASED,YEAR_RELEASED,MONTH_RELEASED,TIME_RELEASED,DIAGONAL_SCREEN_SIZE,CAMERA_PIXELS,DISPLAY_HEIGHT,DISPLAY_WIDTH,AGE,ClusterScrCam_km7
A800,56,a800,lenovo,120.0,2013.0,1.0,2013.083333333333,7.0,5.0,854.0,480.0,4.083333333333712,6
E6603,56,xperia z5,sony,410.0,2015.0,10.0,2015.833333333333,5.2,23.0,1920.0,1080.0,1.3333333333337123,5
SPH-D710,56,galaxy s2 epic touch 4g,samsung,130.0,2011.0,9.0,2011.75,4.53,8.0,800.0,480.0,5.4166666666667425,3
SGH-T399,56,garda,samsung,180.0,2013.0,10.0,2013.833333333333,4.0,4.9,800.0,480.0,3.3333333333337123,3
Z812,55,maven,zte,50.0,2015.0,6.0,2015.5,4.5,5.0,854.0,480.0,1.6666666666667425,2
GT-1313,55,gt-1313,samsung,370.0,2014.0,,2014.5,3.9,5.5,800.0,480.0,2.6666666666667425,4
X515m,55,evo 3d,htc,220.0,2011.0,6.0,2011.5,4.3,5.0,960.0,540.0,5.6666666666667425,3
Agora HD Mini,55,agora hd mini,kogan,120.0,2014.0,4.0,2014.333333333333,7.85,8.0,1024.0,768.0,2.8333333333337123,0
802w,55,one,htc,400.0,2013.0,8.0,2013.666666666667,4.7,4.3,1920.0,1080.0,3.4999999999997726,4
U8815,55,ascend g300,huawei,130.0,2012.0,5.0,2012.416666666667,4.0,5.0,800.0,480.0,4.749999999999773,3
GT-S5570i,55,galaxy mini plus / pop plus,samsung,100.0,2011.0,2.0,2011.166666666667,3.15,3.15,320.0,240.0,5.999999999999773,3
GT-C3312,54,duos,samsung,300.0,2012.0,6.0,2012.5,2.8,1.3,320.0,240.0,4.6666666666667425,3
CAM-TL00H,54,honor 5a,huawei,200.0,2016.0,5.0,2016.416666666667,5.5,8.0,1280.0,720.0,0.7499999999997726,2
A3600,54,a3600,lenovo,70.0,2014.0,,2014.5,4.5,5.0,854.0,480.0,2.6666666666667425,2
GT-S6810,54,galaxy fame,samsung,120.0,2013.0,3.0,2013.25,3.5,5.0,480.0,320.0,3.9166666666667425,3
EVA-AL00,54,p9,huawei,600.0,2016.0,5.0,2016.416666666667,5.2,12.0,1920.0,1080.0,0.7499999999997726,5
GT-I9515L,54,galaxy s4 value edition,samsung,330.0,2014.0,4.0,2014.333333333333,5.0,13.0,1920.0,1080.0,2.8333333333337123,4
Q380,54,canvas spark,micromax,70.0,2015.0,4.0,2015.333333333333,4.7,8.0,960.0,540.0,1.8333333333337123,2
A6020l36,54,vibe k5 plus,lenovo,140.0,2016.0,4.0,2016.333333333333,5.0,13.0,1920.0,1080.0,0.8333333333337123,1
875,54,smart mini,vodafone,400.0,2013.0,7.0,2013.583333333333,3.5,2.0,480.0,320.0,3.5833333333337123,3
GT-S6312,54,galaxy young,samsung,90.0,2013.0,3.0,2013.25,3.27,3.15,480.0,320.0,3.9166666666667425,3
K130,54,k4,lg,100.0,2016.0,2.0,2016.166666666667,4.5,5.0,854.0,480.0,0.9999999999997726,2
P5000,54,p5000,elephone,100.0,2015.0,10.0,2015.833333333333,5.0,16.0,1920.0,1080.0,1.3333333333337123,1
Smart 7,54,smart 7,nex,80.0,2013.0,,2013.5,4.5,5.0,,,3.6666666666667425,3
SM-T360,53,galaxy tab active,samsung,500.0,2014.0,12.0,2015.0,8.0,3.1,800.0,1280.0,2.1666666666667425,0
Y560-U23,53,y5,huawei,110.0,2015.0,6.0,2015.5,4.5,5.0,854.0,480.0,1.6666666666667425,2
K-Book,53,k-book,kalley,470.0,2012.0,8.0,2012.666666666667,7.0,0.3,480.0,800.0,4.499999999999773,6
GT-S5839i,53,galaxy ace,samsung,90.0,2012.0,2.0,2012.166666666667,3.5,5.0,480.0,320.0,4.999999999999773,3
M2-803L,53,mediapad m2 8.0,huawei,250.0,2015.0,5.0,2015.416666666667,8.0,8.0,1200.0,1920.0,1.7499999999997726,0
A7-30DC,53,lenovo tab 2,lenovo,90.0,2015.0,1.0,2015.083333333333,7.0,2.0,600.0,1024.0,2.0833333333337123,6
Amazing A7,53,amazing a7,twm,530.0,2014.0,1.0,2014.083333333333,5.5,8.0,960.0,540.0,3.0833333333337123,4
D2104,53,xperia e1 dual,sony,120.0,2014.0,3.0,2014.25,4.0,3.15,800.0,480.0,2.9166666666667425,2
SM-G900MD,53,galaxy s5,samsung,480.0,2014.0,4.0,2014.333333333333,5.1,16.0,1920.0,1080.0,2.8333333333337123,5
LS996,53,g flex 2,lg,270.0,2015.0,2.0,2015.166666666667,5.5,13.0,1920.0,1080.0,1.9999999999997726,1
RM-1090,53,lumia 535 dual sim,microsoft,80.0,2014.0,12.0,2015.0,5.0,5.0,960.0,540.0,2.1666666666667425,2
SCH-R970,53,galaxy s4,us cellular,440.0,2013.0,5.0,2013.416666666667,5.0,13.0,1920.0,1080.0,3.7499999999997726,4
GT-I9505G,53,galaxy s4 lte,samsung,330.0,2013.0,4.0,2013.333333333333,5.0,13.0,1920.0,1080.0,3.8333333333337123,4
SGH-T399N,52,galaxy light,samsung,180.0,2013.0,10.0,2013.833333333333,4.0,5.0,800.0,480.0,3.3333333333337123,3
Iris X8Q,52,iris x8q,lava,130.0,2015.0,2.0,2015.166666666667,5.0,5.0,1280.0,720.0,1.9999999999997726,2
SCH-P709,52,galaxy mega 5.8,samsung,370.0,2013.0,,2013.5,5.8,8.0,960.0,540.0,3.6666666666667425,4
Smart 4,52,smart 4,nex,80.0,2014.0,,2014.5,4.5,5.0,854.0,480.0,2.6666666666667425,2
GT-P6210,52,galaxy tab 7,samsung,260.0,2012.0,,2012.5,7.0,3.15,1024.0,600.0,4.6666666666667425,6
GT-I9301Q,52,galaxy s3 neo plus,samsung,270.0,2014.0,6.0,2014.5,4.8,8.0,1280.0,720.0,2.6666666666667425,4
SM-G7108,52,galaxy grand 2,samsung,260.0,2013.0,10.0,2013.833333333333,5.25,8.0,1280.0,720.0,3.3333333333337123,4
D820t,52,desire 820t,htc,270.0,2014.0,10.0,2014.833333333333,5.5,13.0,1280.0,720.0,2.3333333333337123,1
SM-G930T1,52,galaxy a7,samsung,850.0,2016.0,9.0,2016.75,5.1,12.0,2560.0,1440.0,0.41666666666674246,5
Y31A,51,y31a,vivo,130.0,2015.0,10.0,2015.833333333333,4.7,8.0,960.0,540.0,1.3333333333337123,2
P6-C00,51,ascend p6 td,huawei,300.0,2013.0,1.0,2013.083333333333,4.7,8.0,1280.0,720.0,4.083333333333712,4
SC-01H,51,galaxy active neo,samsung,370.0,2015.0,,2015.5,4.5,8.0,800.0,480.0,1.6666666666667425,4
XT320,51,defy mini,motorola,160.0,2012.0,2.0,2012.166666666667,3.2,3.15,480.0,320.0,4.999999999999773,3
SM-N915P,50,galaxy note edge,sprint,650.0,2014.0,11.0,2014.916666666667,5.6,16.0,2560.0,1600.0,2.2499999999997726,5
RM-845,50,lumia 822,nokia,320.0,2012.0,11.0,2012.916666666667,4.3,8.0,800.0,480.0,4.249999999999773,4
F240,50,optimus g pro,lg,400.0,2013.0,4.0,2013.333333333333,5.5,2.1,1920.0,1080.0,3.8333333333337123,4
V7A,50,v7a,inew,330.0,2015.0,8.0,2015.666666666667,5.0,16.0,1280.0,720.0,1.4999999999997726,1
PN07120,50,one play edition,htc,360.0,2013.0,1.0,2013.083333333333,4.7,4.0,1920.0,1080.0,4.083333333333712,4
SM-A500,50,galaxy a5,samsung,290.0,2014.0,11.0,2014.916666666667,5.0,13.0,1280.0,720.0,2.2499999999997726,1
SM-N9000,49,galaxy note 3,samsung,420.0,2013.0,9.0,2013.75,5.7,13.0,1920.0,1080.0,3.4166666666667425,4
Y560-U02,49,ascend y560,huawei,110.0,2015.0,6.0,2015.5,4.5,5.0,854.0,480.0,1.6666666666667425,2
G730-T00,49,ascend,huawei,270.0,2013.0,4.0,2013.333333333333,5.5,5.0,960.0,540.0,3.8333333333337123,4
SM-P555Y,49,galaxy tab a 9.7 lte,samsung,370.0,2015.0,,2015.5,9.7,5.0,1024.0,768.0,1.6666666666667425,0
SGH-I577,49,exhilarate,at&t,240.0,2012.0,6.0,2012.5,4.0,5.0,800.0,480.0,4.6666666666667425,3
H340,49,leon,lg,120.0,2015.0,4.0,2015.333333333333,4.5,5.0,854.0,480.0,1.8333333333337123,2
H60-L03,49,honor 6,huawei,210.0,2014.0,10.0,2014.833333333333,5.0,13.0,1920.0,1080.0,2.3333333333337123,1
H820,49,g5,at&t,430.0,2016.0,4.0,2016.333333333333,5.3,16.0,2560.0,1440.0,0.8333333333337123,5
YU5010A,48,yu yuphoria,yu,90.0,2015.0,5.0,2015.416666666667,5.0,8.0,1280.0,720.0,1.7499999999997726,2
LS775,48,stylus 2,lg,150.0,2016.0,4.0,2016.333333333333,5.7,13.0,1280.0,720.0,0.8333333333337123,1
GL07S,48,stream x,huawei,210.0,2013.0,4.0,2013.333333333333,4.7,13.0,1280.0,720.0,3.8333333333337123,4
A7-30GC,48,tab 2,lenovo,90.0,2014.0,1.0,2014.083333333333,7.0,2.0,600.0,1024.0,3.0833333333337123,6
Y320-U01,48,ascend y320,huawei,100.0,2013.0,12.0,2014.0,4.0,2.0,800.0,480.0,3.1666666666667425,3
Grand S II,48,grand s ii,zte,430.0,2014.0,4.0,2014.333333333333,5.5,13.0,1920.0,1080.0,2.8333333333337123,5
SM-N7500Q,48,galaxy note 3 neo,samsung,410.0,2014.0,2.0,2014.166666666667,5.5,8.0,1280.0,720.0,2.9999999999997726,4
X5V,48,x5v,vivo,430.0,2014.0,3.0,2014.25,5.0,13.0,1280.0,720.0,2.9166666666667425,4
LT28i,48,xperia ion,sony,210.0,2012.0,6.0,2012.5,4.55,12.0,1280.0,720.0,4.6666666666667425,4
8079,47,8079,coolpad,360.0,2014.0,7.0,2014.583333333333,4.5,2.0,854.0,480.0,2.5833333333337123,2
HN3-U01,47,honor 3,huawei,200.0,2013.0,6.0,2013.5,4.7,13.1,1280.0,720.0,3.6666666666667425,4
CHE-TL00,47,glory play 4x,huawei,140.0,2014.0,5.0,2014.416666666667,5.5,13.0,1280.0,720.0,2.7499999999997726,1
LS991,47,g4,sprint,340.0,2015.0,4.0,2015.333333333333,5.5,16.0,2560.0,1440.0,1.8333333333337123,1
Y530-U051,47,ascend y530,huawei,100.0,2014.0,2.0,2014.166666666667,4.5,5.0,854.0,480.0,2.9999999999997726,2
A109,47,a109,koobee,100.0,2014.0,8.0,2014.666666666667,5.5,5.0,960.0,540.0,2.4999999999997726,2
M10,47,m10,haipad,260.0,2012.0,9.0,2012.75,9.97,0.3,600.0,1024.0,4.4166666666667425,6
X5L,47,x5l,vivo,430.0,2014.0,3.0,2014.25,5.0,13.0,1280.0,720.0,2.9166666666667425,4
A350,47,canvas knight,micromax,240.0,2014.0,3.0,2014.25,5.0,16.0,1920.0,1080.0,2.9166666666667425,1
302SH,46,aquos phone xx,softbank,340.0,2013.0,7.0,2013.583333333333,5.2,16.0,1920.0,1080.0,3.5833333333337123,4
P650,46,canvas tab,micromax,170.0,2013.0,9.0,2013.75,8.0,5.0,768.0,1024.0,3.4166666666667425,6
Pioneer P2,46,pioneer p2,gionee,70.0,2013.0,,2013.5,4.0,5.0,800.0,480.0,3.6666666666667425,3
S5.5,46,elife s5.5,gionee,270.0,2014.0,3.0,2014.25,5.0,13.0,1920.0,1080.0,2.9166666666667425,4
D6643,46,xperia z3,sony,340.0,2014.0,6.0,2014.5,5.2,20.7,1920.0,1080.0,2.6666666666667425,1
Y511-U10,46,ascend y511,huawei,130.0,2013.0,12.0,2014.0,4.5,3.15,854.0,480.0,3.1666666666667425,3
308,46,308,nex,130.0,2013.0,5.0,2013.416666666667,7.0,3.0,1280.0,720.0,3.7499999999997726,6
LT30a,46,xperia t,sony,350.0,2012.0,11.0,2012.916666666667,4.55,13.0,1280.0,720.0,4.249999999999773,4
LS740,46,volt,lg,130.0,2014.0,5.0,2014.416666666667,4.7,8.0,960.0,540.0,2.7499999999997726,2
D802T,45,g2,lg,270.0,2014.0,9.0,2014.75,5.2,13.0,1920.0,1080.0,2.4166666666667425,1
SM-G900AZ,45,galaxy s5,cricket,480.0,2014.0,4.0,2014.333333333333,5.1,16.0,1920.0,1080.0,2.8333333333337123,5
A1001,45,one,oneplus,100.0,2014.0,5.0,2014.416666666667,5.5,13.0,1920.0,1080.0,2.7499999999997726,1
S950,45,idol x,tcl,190.0,2014.0,9.0,2014.75,5.0,13.0,1920.0,1080.0,2.4166666666667425,1
SM-T357T,45,galaxy tab a 8,t-mobile,350.0,2015.0,6.0,2015.5,9.7,5.0,1024.0,768.0,1.6666666666667425,0
SHW-M250L,45,galaxy s2,samsung,450.0,2011.0,4.0,2011.333333333333,4.3,8.0,800.0,480.0,5.833333333333712,4
SM-A310Y,45,galaxy a3,samsung,230.0,2015.0,12.0,2016.0,4.7,13.0,1280.0,720.0,1.1666666666667425,1
F1fw,45,f1fw,oppo,230.0,2016.0,1.0,2016.083333333333,5.0,13.0,1280.0,720.0,1.0833333333337123,1
GT-P7320,45,galaxy tab 8.9 lte,samsung,220.0,2012.0,,2012.5,8.880000000000003,3.0,800.0,1280.0,4.6666666666667425,6
ATH-TL00,44,honor 4a,huawei,310.0,2015.0,8.0,2015.666666666667,5.0,13.0,1920.0,1080.0,1.4999999999997726,1
T31,44,t31,panasonic,70.0,2013.0,10.0,2013.833333333333,4.0,3.15,800.0,480.0,3.3333333333337123,3
S8-50L,44,tab s8,lenovo,150.0,2014.0,9.0,2014.75,8.0,8.0,1200.0,1920.0,2.4166666666667425,0
Q1000,44,opus,xolo,170.0,2013.0,4.0,2013.333333333333,5.0,5.0,854.0,480.0,3.8333333333337123,3
SM-T377V,44,galaxy tab e 8.0,samsung,370.0,2015.0,,2015.5,8.0,5.0,1280.0,800.0,1.6666666666667425,0
GT-I8550,44,galaxy win,samsung,170.0,2013.0,5.0,2013.416666666667,4.7,5.0,800.0,480.0,3.7499999999997726,3
SGH-I257,44,galaxy s4 mini,samsung,230.0,2013.0,7.0,2013.583333333333,4.3,8.0,960.0,540.0,3.5833333333337123,4
Lifetab E7316,44,lifetab e7316,medion,260.0,2014.0,9.0,2014.75,7.0,2.0,600.0,1024.0,2.4166666666667425,0
V10,44,v10,hiking,120.0,2015.0,5.0,2015.416666666667,5.0,13.0,1280.0,720.0,1.7499999999997726,1
K100,44,k3,lg,100.0,2016.0,9.0,2016.75,4.5,5.0,854.0,480.0,0.41666666666674246,2
MS500,44,optimus f6,lg,200.0,2013.0,9.0,2013.75,4.5,4.9,960.0,540.0,3.4166666666667425,3
A820,44,a820,lenovo,110.0,2013.0,,2013.5,4.5,8.0,960.0,540.0,3.6666666666667425,3
CHM-TL00,43,honor 4c,huawei,150.0,2015.0,11.0,2015.916666666667,5.0,13.0,1280.0,720.0,1.2499999999997726,1
E455,43,canvas nitro 4g,lg,120.0,2015.0,4.0,2015.333333333333,5.0,13.0,1280.0,720.0,1.8333333333337123,1
SM-J320W8,43,galaxy j3 (2016),samsung,330.0,2016.0,1.0,2016.083333333333,5.0,8.0,1280.0,720.0,1.0833333333337123,1
D959,43,g flex,t-mobile,360.0,2013.0,11.0,2013.916666666667,6.0,13.0,1280.0,720.0,3.2499999999997726,4
SM-J320Y,43,galaxy j3,samsung,150.0,2016.0,1.0,2016.083333333333,5.0,8.0,1280.0,720.0,1.0833333333337123,2
Blade L6,43,blade l6,zte,80.0,2015.0,2.0,2015.166666666667,5.0,13.0,1280.0,720.0,1.9999999999997726,1
Elife E7 Mini,43,elife e7 mini,gionee,230.0,2014.0,4.0,2014.333333333333,4.7,13.0,1280.0,720.0,2.8333333333337123,1
Smart D71,43,smart d71,klipad,80.0,2014.0,,2014.5,7.0,2.0,600.0,1024.0,2.6666666666667425,6
Y320-U30,43,ascend y320,huawei,100.0,2013.0,12.0,2014.0,4.0,2.0,800.0,480.0,3.1666666666667425,3
ST21a,43,xperia tipo,sony ericsson,80.0,2012.0,8.0,2012.666666666667,3.2,3.15,480.0,320.0,4.499999999999773,3
SM-G530P,43,galaxy grand prime,sprint,150.0,2014.0,10.0,2014.833333333333,5.0,8.0,960.0,540.0,2.3333333333337123,2
S550,43,s550,cubot,360.0,2015.0,7.0,2015.583333333333,5.5,13.0,1280.0,720.0,1.5833333333337123,1
LUA-L02,43,y3 ii,huawei,80.0,2016.0,6.0,2016.5,4.5,5.0,854.0,480.0,0.6666666666667425,2
Diamond S,43,diamond s,archos,120.0,2015.0,10.0,2015.833333333333,5.0,16.0,1280.0,720.0,1.3333333333337123,1
SM-G850W,43,galaxy s5 active,samsung,450.0,2014.0,9.0,2014.75,5.1,16.0,1920.0,1080.0,2.4166666666667425,5
X9070,43,find 7,oppo,370.0,2014.0,3.0,2014.25,5.5,13.0,2560.0,1440.0,2.9166666666667425,4
N9000W,42,n9000w,m-horse,160.0,2014.0,11.0,2014.916666666667,5.5,2.0,854.0,480.0,2.2499999999997726,2
VNS-DL00,42,g9 lite,huawei,280.0,2016.0,4.0,2016.333333333333,5.2,13.0,1920.0,1080.0,0.8333333333337123,1
N5207,42,n3,oppo,550.0,2014.0,1.0,2014.083333333333,5.5,16.0,1920.0,1080.0,3.0833333333337123,5
X200,42,x200,xgody,120.0,2015.0,6.0,2015.5,5.0,5.0,960.0,540.0,1.6666666666667425,2
T375,42,cookie smart,lg,70.0,2012.0,,2012.5,3.2,2.0,320.0,240.0,4.6666666666667425,3
NX503A,42,nubia z5s,zte,210.0,2013.0,8.0,2013.666666666667,5.0,13.0,1920.0,1080.0,3.4999999999997726,4
LU5400,42,prada 3.0,lg,210.0,2012.0,1.0,2012.083333333333,4.3,8.0,800.0,480.0,5.083333333333712,3
Blade X9,42,blade x9,zte,170.0,2015.0,12.0,2016.0,5.5,13.0,1920.0,1080.0,1.1666666666667425,1
Lumia 735 LTE,41,lumia 735 lte,nokia,220.0,2014.0,9.0,2014.75,4.7,6.7,1280.0,720.0,2.4166666666667425,2
A369,41,a369,lenovo,70.0,2013.0,,2013.5,4.0,2.0,800.0,480.0,3.6666666666667425,3
H340AR,41,leon lte,lg,120.0,2015.0,4.0,2015.333333333333,4.5,5.0,854.0,480.0,1.8333333333337123,2
SM-G3812,41,galaxy win pro,samsung,200.0,2013.0,3.0,2013.25,4.5,5.0,960.0,540.0,3.9166666666667425,3
SM-G920AZ,41,galaxy s6,cricket,500.0,2015.0,4.0,2015.333333333333,5.1,16.0,2560.0,1440.0,1.8333333333337123,5
H634,41,g stylo,cricket,180.0,2015.0,5.0,2015.416666666667,5.7,8.0,1280.0,720.0,1.7499999999997726,2
VS995,41,v20,verizon,640.0,2016.0,10.0,2016.833333333333,5.7,16.0,2560.0,1440.0,0.3333333333337123,5
MB860,41,atrix 4g,motorola,190.0,2011.0,2.0,2011.166666666667,4.0,5.0,960.0,540.0,5.999999999999773,3
A114,41,canvas 2.2,micromax,190.0,2013.0,5.0,2013.416666666667,5.0,8.0,960.0,540.0,3.7499999999997726,4
D160,40,l40,lg,80.0,2014.0,4.0,2014.333333333333,3.5,3.15,480.0,320.0,2.8333333333337123,2
A902,40,a902,amaway,200.0,2015.0,8.0,2015.666666666667,9.0,2.0,480.0,800.0,1.4999999999997726,0
NX403A,40,nubia z5s mini,zte,230.0,2013.0,12.0,2014.0,4.7,13.0,1280.0,720.0,3.1666666666667425,4
GT-S6500,40,galaxy mini 2,samsung,90.0,2012.0,3.0,2012.25,3.39,3.15,480.0,320.0,4.9166666666667425,3
D505,40,optimus f6,lg,200.0,2013.0,9.0,2013.75,4.5,5.0,960.0,540.0,3.4166666666667425,3
Iris X9,39,iris x9,lava,80.0,2015.0,,2015.5,5.5,8.0,1280.0,720.0,1.6666666666667425,2
D390N,39,f60,lg,100.0,2014.0,10.0,2014.833333333333,4.5,5.0,800.0,480.0,2.3333333333337123,2
Iris 550Q,39,iris 550q,lava,150.0,2014.0,4.0,2014.333333333333,5.5,8.0,1280.0,720.0,2.8333333333337123,2
IS12S,39,xperia acro hd/soi12,sony ericsson,280.0,2012.0,,2012.5,4.29,12.0,1280.0,720.0,4.6666666666667425,4
6030A,39,one touch idol,alcatel,100.0,2013.0,10.0,2013.833333333333,4.7,8.0,960.0,540.0,3.3333333333337123,2
Q1010i,39,q1010i,xolo,170.0,2014.0,4.0,2014.333333333333,5.0,8.0,1280.0,720.0,2.8333333333337123,2
Iris 705,39,iris 705,lava,80.0,2016.0,,2016.5,4.5,8.0,960.0,540.0,0.6666666666667425,2
306SH,39,aquos crystal,softbank,220.0,2014.0,8.0,2014.666666666667,5.0,8.0,1280.0,720.0,2.4999999999997726,2
Studio 5.0 C HD,39,studio 5.0 c hd,blu,110.0,2015.0,8.0,2015.666666666667,5.0,8.0,1280.0,720.0,1.4999999999997726,2
