MODEL, REACH, MARKETING_NAME, VENDOR, PRICE_RELEASED, YEAR_RELEASED, MONTH_RELEASED, TIME_RELEASED, DIAGONAL_SCREEN_SIZE, CAMERA_PIXELS, DISPLAY_HEIGHT, DISPLAY_WIDTH
T500,24,genius talk,dany,70,2014,3,2014.25,7.01,8,1280,800
S Plus,24,s plus,gionee,NULL,2015,12,2016,5.5,13,1280,720
X906,24,le max,letv,NULL,2015,NULL,2015.5,6.33,21,2560,1440
Primo NX2,24,primo nx2,walton,220,2014,4,2014.333333333333,5.5,8,1280,720
C55,24,c55,siswoo,170,2015,5,2015.416666666667,5.5,13,1280,720
SGH-I547,23,galaxy rugby pro,at&t,150,2012,10,2012.833333333333,3.97,5,800,480
S720,23,s720,lenovo,230,2014,1,2014.083333333333,5.5,8,1280,720
TR10CS1,23,education tablet,intel,NULL,2014,NULL,2014.5,10.1,5,800,1280
Aqua I-5,23,aqua i-5,intex,NULL,2013,NULL,2013.5,5,12,960,540
Elite 2,23,elite 2,leagoo,610,2015,3,2015.25,5.5,13,1280,720
E63,23,e63,nokia,NULL,2008,NULL,2008.5,2.37,NULL,240,320
Sensation 4G,23,sensation 4g,t-mobile,210,2011,6,2011.5,4.3,8,960,540
Marvel,23,marvel,htc,NULL,2011,NULL,2011.5,3.2,5,480,320
SM-G7108 TD,23,galaxy grand 2 td,samsung,260,2014,10,2014.833333333333,5.25,8,1280,720
A53,23,a53,oppo,NULL,2015,12,2016,5.5,13,1280,720
SM-T817V,23,galaxy tab s2,verizon,NULL,2015,NULL,2015.5,9.699999999999999,8,1600,2560
PM36100,23,one vx,at&t,290,2012,11,2012.916666666667,4.5,5,960,540
SM-J710FQ,23,galaxy j7,samsung,230,2016,4,2016.333333333333,5.5,13,1280,720
Trooper2 5.0,23,trooper2 5.0,kazam,NULL,2014,NULL,2014.5,5,5,854,480
WX10K,23,dingo dual 2,willcom,NULL,2013,NULL,2013.5,4.7,8.1,1280,720
D337,23,g prime,lg,130,2014,11,2014.916666666667,5,8,854,480
T50,23,t50,colors,70,2016,3,2016.25,5,13,1280,720
C5306,23,xperia sp lte,sony,180,2013,4,2013.333333333333,4.6,8,1280,720
Quantum Go 3G,23,quantum go 3g,positivo,NULL,2015,NULL,2015.5,5,13,1280,720
Evo V 4G,23,evo v 4g,virgin,220,2012,6,2012.5,4.7,8,1280,720
XI-TAB77,23,xi-tab77,xion,NULL,2012,NULL,2012.5,7,NULL,480,800
S5000-F,23,s5000,lenovo,130,2013,12,2014,7,5,800,1280
G700-T00,23,ascend g700,huawei,190,2013,NULL,2013.5,5,8,1280,720
V940N,23,g pad ii 10.1fhd,lg,NULL,2015,NULL,2015.5,10.1,5,1920,1200
Power Five Pro,23,power five pro,highscreen,280,2015,10,2015.833333333333,5,8,1280,720
P1640,23,tegra note,nvidia,190,2013,12,2014,7,5,800,1280
SO-05D,23,xperia sx,docomo,220,2012,9,2012.75,3.7,NULL,960,540
Blade V580,23,blade v plus,zte,270,2016,2,2016.166666666667,5,13,1280,720
SHV-E140L,23,galaxy tab 8.9 lte,samsung,370,2012,NULL,2012.5,8.880000000000001,NULL,800,1280
GT-I8520,23,galaxy beam,samsung,260,2010,7,2010.583333333333,3.7,NULL,800,480
802T,23,one,htc,400,2013,8,2013.666666666667,4.7,4.1,1920,1080
GT-I8580,23,galaxy core advance,samsung,250,2014,7,2014.583333333333,4.6,5,800,480
GM 5 Plus d,23,gm 5 plus d,general mobile,NULL,2016,NULL,2016.5,5.2,13,1920,1080
M2 3G,23,m2 3g,infocus,200,2015,NULL,2015.5,4.2,8,1280,768
M811,23,m811,china mobile,NULL,2014,NULL,2014.5,5,8,1280,720
AT7-B,23,excite 7c,toshiba,70,2013,2,2013.166666666667,7,0.3,600,1024
Startrail 5,23,startrail 5,sfr,NULL,2014,NULL,2014.5,5,5,960,540
4033X,23,one touch pop c3,alcatel,NULL,2013,1,2013.083333333333,4,5,800,480
SC-02D,23,galaxy tab 7.0 plus,docomo,NULL,2011,NULL,2011.5,7,3.15,1024,600
SM-T719C,23,tab s3,samsung,370,2016,NULL,2016.5,8,8,1536,2048
SM-A310M,23,galaxy a3 (2016),samsung,230,2016,12,2017,4.7,13,1280,720
5021E,23,one touch soleil,alcatel,NULL,2013,NULL,2013.5,4,5,800,480
TIT-CL10,23,changxiang 5,china unicom,NULL,2016,NULL,2016.5,5,13,1280,720
Grand 2,23,grand 2,lava,180,2016,1,2016.083333333333,5.5,13,1280,720
Xenium V526,23,xenium v526,philips,NULL,2015,8,2015.666666666667,5,13,1280,720
eMax Mini,23,emax mini,umi,260,2015,5,2015.416666666667,5,8,1920,1080
GT-P7100,23,galaxy tab 10.1,samsung,260,2011,10,2011.833333333333,10.1,3.15,800,1280
8008D,23,one touch scribe,alcatel,NULL,2013,NULL,2013.5,5,8,1280,720
Xtraphone 5.3 Q4,23,xtraphone 5.3 q4,evolveo,NULL,2013,NULL,2013.5,5.3,8,960,540
4034D,23,pixi 4 (4),alcatel,NULL,2016,1,2016.083333333333,4,2,800,480
SGH-I727R,23,galaxy s2 lte,samsung,370,2011,NULL,2011.5,4.5,8,800,480
Trooper2 6.0,23,trooper2 6.0,kazam,NULL,2014,NULL,2014.5,6,5,854,480
MK-399,23,mk-399,mto,NULL,2014,NULL,2014.5,5,13,960,540
SM-G7105L,23,galaxy grand 2,samsung,180,2013,1,2013.083333333333,5.25,8,1280,720
Excite  Prime,23,excite  prime,cloudfone,NULL,2016,NULL,2016.5,5.5,13,1280,720
G520-5000,23,ascend g520,huawei,NULL,2013,NULL,2013.5,4.5,5,854,480
Desire 520,23,desire 520,htc,NULL,2015,NULL,2015.5,4.5,8,854,480
M9 Plus,22,m9 plus,vensmile,500,2016,5,2016.416666666667,5,2,854,480
SM-T817T,22,galaxy tab s2,t-mobile,NULL,2015,NULL,2015.5,9.699999999999999,8,1536,2048
L681,22,l681,hisense,NULL,2015,NULL,2015.5,5,8,1280,720
K557,22,stylo 2 plus,lg,NULL,2016,NULL,2016.5,5.7,13,1920,1080
W6500,22,xenium,philips,NULL,2013,10,2013.833333333333,4.3,8,960,540
U30GT,22,u30gt,cube,NULL,2012,NULL,2012.5,10.1,2,800,1280
ZP900,22,leader,zopo,NULL,2012,NULL,2012.5,5.3,NULL,960,540
Power Ice,22,power ice,highscreen,130,2015,9,2015.75,5,8,1280,720
LS-5504,22,water 7,lyf,NULL,2015,NULL,2015.5,5.5,13,1920,1080
SCL-CL00,22,honor 4a,huawei,140,2015,10,2015.833333333333,5,8,1280,720
Y11iW,22,y11iw,vivo,NULL,2013,NULL,2013.5,4,5,800,480
YU5530,22,yunicorn,yu,180,2016,6,2016.5,5.5,13,1920,1020
T8951,22,ascend g510,huawei,100,2013,4,2013.333333333333,4.5,5,854,480
NX513J,22,nubia my prague,zte,NULL,2015,NULL,2015.5,5.2,16,1920,1080
J-Q88B,22,j-q88b,abbery,NULL,2012,NULL,2012.5,7.01,NULL,480,800
TAQ-10043,22,taq-10043,denver electronics,NULL,2013,NULL,2013.5,10.1,NULL,600,1024
E6560,22,duraforce,kyocera,NULL,2014,NULL,2014.5,4.5,8,1280,720
V99,22,v99,bmorn,NULL,2011,NULL,2011.5,9.699999999999999,2,768,1024
Xintron i 10.1,22,surftab,trekstor,NULL,2014,NULL,2014.5,10.1,5,800,1280
S1036X,22,lifetab,medion,NULL,2014,NULL,2014.5,10.1,5,1200,1920
A2015,22,a2015,zte,350,2015,8,2015.666666666667,5.5,13,2560,1440
T9292,22,hd7,htc,120,2010,6,2010.5,4.3,5,800,480
SK17a,22,xperia mini pro,sony ericsson,NULL,2011,NULL,2011.5,3,5,480,320
M-MP1040S2,22,smartpad 10.1 s2,mediacom,NULL,2013,NULL,2013.5,10.1,2,600,1024
Streak,22,streak,dell,450,2009,NULL,2009.5,5,NULL,800,480
S401,22,s401,obi,80,2014,1,2014.083333333333,4,5,800,480
Xplay5S,22,xplay5,vivo,610,2016,3,2016.25,5.43,16,2560,1440
N-03E,22,disney mobile,docomo,NULL,2012,NULL,2012.5,4.7,13,1280,720
PAP4500 Duo,22,multiphone,prestigio,NULL,2013,NULL,2013.5,4.5,8,960,540
Q469,22,canvas play 4g,micromax,NULL,2015,NULL,2015.5,5.5,13,1280,720
G900W,22,g900w,bepa,360,2014,4,2014.333333333333,4.6,18.4,1280,720
Birdy,22,birdy,wiko,130,2014,8,2014.666666666667,4.5,5,854,480
SHL21,22,aquos phone shl21,kddi,NULL,2012,NULL,2012.5,4.7,13.2,1280,720
PMT5887,22,multipad color 8,prestigio,NULL,2014,NULL,2014.5,8,2,800,1280
T008,22,padfone e,asus,260,2014,3,2014.25,4.7,13,1280,800
P659,22,optimus f3,lg,230,2013,2,2013.166666666667,4,5,800,480
Q-Smart S16,22,q-smart s16,qmobile,80,2013,NULL,2013.5,4,2,800,480
PSP3502,22,multiphone 3502 duo,prestigio,NULL,2015,NULL,2015.5,5,8,854,480
S309,22,s309,philips,NULL,2015,7,2015.583333333333,4,5,800,480
PadFone X mini,22,padfone x mini,asus,320,2014,12,2015,4.5,5,854,480
N78,22,n78,sanei,NULL,2013,NULL,2013.5,7,2,600,1024
7040N,22,one touch pop c7,alcatel,NULL,2013,NULL,2013.5,5,5,854,480
4032D,22,one touch pop c2,alcatel,NULL,2014,1,2014.083333333333,4,3.15,800,480
Trekker-X1,22,trekker-x1,crosscall,NULL,2015,NULL,2015.5,5,13,1280,720
Vivo 5R,22,vivo 5r,blu,340,2016,9,2016.75,5.5,13,1920,1080
P5001,22,p5001,medion,320,2014,10,2014.833333333333,5,5,960,540
102e,22,desire 200,htc,100,2013,7,2013.583333333333,3.5,5,480,320
6995 LVW,22,one m8 for windows,verizon,NULL,2014,NULL,2014.5,5,5,1920,1080
Notos plus 3G,22,notos plus 3g,odys,NULL,2016,NULL,2016.5,10.1,NULL,1280,720
SM-G360AZ,22,galaxy core prime,cricket,150,2015,11,2015.916666666667,4.5,1.5,800,480
P7 Xtreme,22,p7 xtreme,allview,NULL,2014,NULL,2014.5,4.7,13,1280,720
Zero,22,zero,inco,280,2015,10,2015.833333333333,5,13,1920,1080
A76,22,a76,ampe,NULL,2013,10,2013.833333333333,7.01,5,854,800
Q-Smart QS16,21,q-smart qs16,qmobile,80,2014,NULL,2014.5,4,2,640,360
H630D,21,g4 stylus,lg,250,2015,5,2015.416666666667,5.7,13,1280,720
GT-N7108D,21,galaxy note 2 lte,samsung,300,2013,9,2013.75,5.5,8,1280,720
RM-1109,21,lumia 640,microsoft,NULL,2015,NULL,2015.5,5,8,1280,720
5036X,21,one touch pop c5,alcatel,NULL,2013,NULL,2013.5,4.5,5,854,480
D805,21,g2 4g lte,lg,180,2013,3,2013.25,5.2,13,1920,1080
9976A,21,9976a,coolpad,NULL,2013,NULL,2013.5,7,13,1920,1200
SCH-I915,21,galaxy tab 2,verizon,NULL,2012,NULL,2012.5,10.13,3.15,1280,800
Y635-L03,21,ascend y635,huawei,140,2015,5,2015.416666666667,5,5,854,480
RIO-CL00,21,g7 plus,huawei,NULL,2015,NULL,2015.5,5.5,13,1920,1080
H815T,21,g4,lg,340,2015,4,2015.333333333333,5.5,16,2560,1440
SH-10D,21,aquos phone sv,docomo,NULL,2012,NULL,2012.5,4.5,12,1280,720
Blade A476,21,blade a476,zte,80,2016,2,2016.166666666667,5,8,1280,720
W1-U00,21,ascend w1,huawei,160,2013,1,2013.083333333333,4,5,800,480
H630,21,g stylo,lg,250,2015,5,2015.416666666667,5.7,8,1280,720
XT1528,21,moto e 2nd gen 4g,motorola,NULL,2015,NULL,2015.5,4.5,5,960,540
YU5010,21,yu yuphoria,yu,90,2015,5,2015.416666666667,5,8,1280,720
TS1 Duo,21,ts1 duo,myphone,NULL,2012,NULL,2012.5,3.2,2,480,320
A919,21,a919,myphone,NULL,2012,NULL,2012.5,5,8,854,480
K121,21,k4,lg,100,2016,2,2016.166666666667,4.5,5,854,480
Hammer,21,hammer,umi,NULL,2014,NULL,2014.5,5,13,1280,720
Discovery Air,21,discovery air,general mobile,NULL,2015,NULL,2015.5,4.8,8,1280,720
V2s Plus,21,pixel v2s plus,lava,NULL,2016,NULL,2016.5,5,NULL,1280,720
Z828,21,avid plus,zte,110,2016,1,2016.083333333333,5,5,854,480
U10,21,u10,oukitel,160,2015,8,2015.666666666667,5.5,13,1920,1080
Y20T,21,y20t,vivo,NULL,2013,NULL,2013.5,5.5,8,1280,720
U1Pro,21,u1pro,pipo,NULL,2014,NULL,2014.5,7,2,800,1280
A30,21,a30,micromax,NULL,2016,NULL,2016.5,5,13,1920,1080
A116,21,canvas hd,coolpad,230,2015,5,2015.416666666667,5,5,1280,720
M-PPxG510,21,m-ppxg510,mediacom,NULL,2014,NULL,2014.5,5,5,960,540
ST21i2,21,xperia tipo dual,sony,90,2012,9,2012.75,3.2,3.15,480,320
Novel,21,novel,pandigital,NULL,2010,NULL,2010.5,7,NULL,800,600
A290,21,canvas knight cameo,micromax,150,2014,9,2014.75,4.7,8,1280,720
P1000,21,p1000,bassoon,150,2015,10,2015.833333333333,7,8,800,480
I128,21,i128,konka,NULL,2013,NULL,2013.5,4,3.2,800,480
SGH-I527M,21,galaxy  mega,samsung,300,2013,6,2013.5,6.3,8,1280,720
GT-P6810,21,galaxy tab 7.7,samsung,280,2011,NULL,2011.5,7.7,NULL,1280,800
Q391,21,canvas doodle 4,micromax,140,2015,5,2015.416666666667,6,8,1280,720
GT-S7568,21,galaxy s duos,samsung,130,2012,5,2012.416666666667,3.97,NULL,800,480
YU5510,21,yu yureka plus,micromax,170,2015,8,2015.666666666667,5.5,13,1920,1080
E5606,21,xperia m5,sony,270,2015,9,2015.75,5,21.2,1920,1080
S2007,21,star 2,zte,NULL,2015,NULL,2015.5,5,13,1920,1080
Odyssey S320,21,odyssey s320,ooredoo,NULL,2014,NULL,2014.5,3.5,2,480,320
PHS-601,21,c8,condor,NULL,2014,NULL,2014.5,5.5,8,1280,720
9001D,21,onetouch pixi 4 (6),alcatel,NULL,2016,NULL,2016.5,6,8,1280,720
U9500,21,ascend d1,huawei,350,2012,NULL,2012.5,4.5,NULL,1280,720
Liro Color,21,liro color,trekstor,NULL,2011,NULL,2011.5,7,NULL,800,480
F-04E,21,arrows v,docomo,NULL,2012,NULL,2012.5,4.7,13,1280,720
2015,21,2015,thl,520,2015,9,2015.75,5,13,1080,1920
S900,21,hyundai s900,hyundai,NULL,2012,NULL,2012.5,9.77,NULL,768,1024
GT540,21,optimus,lg,NULL,2010,NULL,2010.5,3,NULL,480,320
PGN605,21,plume p8,condor,NULL,2016,NULL,2016.5,5.5,13,1280,720
SM-T905,21,galaxy tab pro 12.2,samsung,370,2014,NULL,2014.5,12.2,8,1600,2560
PE-TL00M,21,honor 6 plus,huawei,NULL,2015,NULL,2015.5,5.5,8,1920,1080
Blade,21,blade,zte,80,2010,2,2010.166666666667,3.5,3.15,800,480
Fresh,21,fresh,explay,120,2014,10,2014.833333333333,5,8,1280,720
Infinity Power,21,infinity power,gionee,240,2012,1,2012.083333333333,4,5,800,480
Alfa 8,21,alfa 8,leagoo,NULL,2015,NULL,2015.5,4,5,800,400
Next7C12F,21,premium 7,nextbook,NULL,2012,NULL,2012.5,7.01,NULL,800,480
50b Neon,21,50b neon,archos,NULL,2014,NULL,2014.5,5,5,854,480
Cube 5.0,21,cube 5.0,xolo,NULL,2015,6,2015.5,5,8,1280,720
SM-G900T3,21,galaxy s5,samsung,480,2014,4,2014.333333333333,5.1,16,1920,1080
S2350,21,s2350,polytron,NULL,2012,NULL,2012.5,3.5,2,480,320
T012,21,liquid z320 duo,acer,90,2015,11,2015.916666666667,4.5,5,854,480
Y320-C00,20,ascend y320,huawei,100,2013,12,2014,4,2,800,480
U9202L,20,ascend p1 lte,huawei,150,2012,10,2012.833333333333,4.3,1.3,960,540
50c Neon,20,50c neon,archos,NULL,2014,NULL,2014.5,5,5,854,480
YU4711,20,yu yunique,micromax,80,2015,8,2015.666666666667,4.7,8,1280,720
SM-P905V,20,galaxy note pro 12.2,verizon,NULL,2014,NULL,2014.5,12.2,8,1600,2560
C8818,20,c8818,huawei,NULL,2015,NULL,2015.5,5,13,1280,720
4013D,20,one touch pixi 3 (4),alcatel,NULL,2015,1,2015.083333333333,4,1.9,800,480
VS880,20,g vista,verizon,300,2014,8,2014.666666666667,5.7,8,1280,720
A777,20,a777,unknown,NULL,2012,NULL,2012.5,7,0.3,480,800
SC-01C,20,galaxy tab,docomo,NULL,2010,NULL,2010.5,7,NULL,1024,600
iRuLu V3,20,victory,irulu,300,2015,4,2015.333333333333,6.5,13,1280,720
FS504,20,cirrus 2,fly,NULL,2015,NULL,2015.5,5,8,1280,720
SM-G930AZ,20,galaxy s7,samsung,370,2016,NULL,2016.5,5.1,12,2570,1440
U8950D,20,ascend g600,huawei,100,2012,9,2012.75,4.5,NULL,540,960
BV2000,20,bv2000,blackview,NULL,2015,NULL,2015.5,5,5,1280,720
